id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
36451,white,19,never married,0,college,2,True,None,0,None,protestant,False,part-time,82,163,20000
36836,black,24,never married,2,college,2,False,None,2,None,baptist,True,None,61,168,10000
35688,black,29,informal relationship,0,college,2,True,None,4,1,baptist,True,None,None,None,15000
39877,black,29,divorced,3,college,1,False,None,4,1,baptist,True,full-time,64,170,20000
38501,black,31,separated,3,college,2,True,Associate,5,1,protestant,True,both,78,160,20000
40745,white,23,separated,0,school,12,False,None,1,1,baptist,True,full-time,106,170,15000
33852,black,24,never married,0,college,4,False,Associate,0,None,baptist,True,both,69,168,15000
37571,black,43,informal relationship,0,school,11,False,None,4,1,baptist,True,None,64,175,10000
42245,white,31,informal relationship,2,school,12,True,None,3,None,baptist,True,full-time,77,175,25000
37731,white,34,separated,3,school,11,True,None,5,2,protestant,True,full-time,70,160,15000
26540,white,40,married,2,college,2,False,None,2,1,baptist,True,full-time,67,165,2137000
31933,hispanic,21,married,1,school,9,True,None,2,1,catholic,True,None,None,None,12500
26304,white,24,informal relationship,0,college,1,False,None,0,None,baptist,True,both,73,173,5000
27709,white,15,never married,0,school,9,False,None,0,None,baptist,False,None,94,173,None
30953,white,39,married,1,college,4,True,Bachelor,1,1,protestant,True,full-time,104,173,40000
31244,hispanic,33,informal relationship,4,school,9,True,None,3,None,catholic,True,None,51,150,7500
31102,white,35,informal relationship,1,school,9,False,None,3,None,baptist,True,both,65,165,12500
27215,white,29,married,2,school,12,False,None,3,1,protestant,True,None,68,152,20000
33265,white,25,married,0,college,4,True,Bachelor,0,1,baptist,True,full-time,70,168,35000
32121,white,16,never married,0,school,11,False,None,0,None,baptist,False,part-time,103,178,5000
29135,white,16,never married,0,school,10,True,None,0,None,protestant,False,None,50,155,5000
30596,white,24,married,0,school,10,False,None,0,1,protestant,True,both,100,160,50000
26250,white,27,never married,0,college,4,True,Bachelor,0,None,protestant,True,full-time,73,175,35000
27457,white,40,divorced,0,school,12,True,None,4,1,baptist,True,full-time,67,178,30000
26190,black,40,divorced,0,school,12,True,None,10,1,baptist,True,both,77,160,10000
31297,black,26,never married,3,school,11,False,None,1,None,None,True,None,61,168,5000
31053,white,17,never married,0,school,10,False,None,1,None,protestant,False,both,None,None,12500
30966,other,28,married,3,school,10,False,None,3,1,baptist,True,None,73,160,25000
30432,other,33,married,2,college,3,True,None,2,1,baptist,True,full-time,125,180,30000
29138,white,28,divorced,1,college,4,False,Associate,1,1,baptist,True,full-time,96,163,25000
29357,black,40,never married,2,college,7,False,Bachelor,2,None,baptist,True,part-time,84,163,7500
32993,white,21,married,1,college,2,True,None,2,1,baptist,True,full-time,96,170,30000
32567,white,43,separated,1,school,11,False,None,4,2,catholic,True,full-time,68,168,25000
33277,white,41,divorced,2,school,12,True,None,5,3,catholic,True,both,54,163,7500
32811,white,38,never married,0,school,11,True,None,1,None,baptist,False,None,105,160,5000
27898,white,37,never married,1,school,12,True,None,1,None,baptist,True,both,106,168,12500
27624,white,35,married,4,college,4,True,Associate,3,2,baptist,True,full-time,70,178,50000
29331,white,30,married,2,school,12,True,None,2,1,baptist,True,both,95,165,35000
31107,white,35,never married,1,school,12,True,None,0,None,baptist,True,full-time,93,157,40000
33097,black,16,never married,0,school,10,False,None,0,None,protestant,False,None,70,175,5000
29251,hispanic,21,never married,0,school,12,True,None,0,None,protestant,False,both,61,173,10000
27853,white,15,never married,0,school,9,False,None,0,None,protestant,False,both,54,170,5000
27212,white,27,married,2,college,2,True,None,2,1,catholic,True,part-time,66,160,10000
29016,white,29,never married,0,college,4,True,Bachelor,0,None,None,True,both,67,157,25000
30559,white,30,married,3,school,10,False,None,4,1,protestant,True,both,74,170,20000
27625,white,26,never married,0,school,12,True,None,1,None,baptist,False,both,52,163,20000
31328,white,35,married,0,college,6,True,Bachelor,0,1,protestant,True,full-time,65,157,50000
31540,white,15,never married,0,school,9,False,None,0,None,protestant,False,None,86,163,None
29490,white,19,never married,0,college,1,True,None,1,None,protestant,False,part-time,None,None,7500
32222,white,34,married,2,school,12,True,None,2,1,other,True,None,103,157,30000
31279,white,30,separated,2,college,2,True,Associate,2,2,baptist,True,full-time,68,170,50000
28999,white,42,widowed,0,school,11,False,None,1,1,baptist,True,None,75,180,5000
38192,white,35,divorced,1,school,9,False,None,1,1,baptist,True,full-time,91,178,25000
40956,white,40,married,1,college,4,True,Bachelor,1,1,protestant,True,full-time,70,168,40000
32823,hispanic,34,married,3,school,10,True,None,4,1,catholic,True,part-time,57,170,25000
28158,hispanic,19,never married,0,college,1,False,None,0,None,catholic,False,part-time,47,165,35000
26490,white,35,married,2,college,6,True,Master,2,1,protestant,True,both,54,168,15000
36572,white,44,divorced,2,college,6,False,Master,3,3,protestant,True,full-time,65,163,2137000
30405,hispanic,42,married,3,school,11,True,None,7,2,protestant,True,full-time,47,155,20000
32102,black,15,never married,0,school,9,True,None,0,None,protestant,False,None,86,170,None
31587,white,21,married,4,school,9,False,None,4,1,None,True,None,74,152,5000
26931,white,22,informal relationship,2,school,12,True,None,2,None,baptist,True,full-time,77,165,20000
33119,hispanic,30,married,2,school,9,True,None,3,1,catholic,False,None,None,None,None
26637,white,34,never married,0,school,11,False,None,2,None,baptist,True,None,104,168,25000
32523,hispanic,22,never married,0,school,12,True,None,0,None,catholic,True,both,51,157,25000
28608,hispanic,18,married,1,school,11,False,None,1,1,catholic,False,full-time,68,157,5000
30673,hispanic,34,married,1,school,9,True,None,1,1,catholic,False,None,68,150,None
29436,hispanic,37,married,2,school,9,True,None,2,1,catholic,True,both,80,170,15000
29893,hispanic,16,never married,0,school,11,False,None,0,None,catholic,False,None,47,160,None
33013,hispanic,30,informal relationship,0,college,1,True,None,0,None,None,True,full-time,66,160,25000
30939,hispanic,30,married,2,school,9,True,None,3,1,catholic,True,None,86,170,12500
38700,hispanic,32,married,3,school,11,True,None,3,1,catholic,True,full-time,75,157,15000
37437,hispanic,30,informal relationship,5,school,9,True,None,5,None,catholic,False,part-time,68,150,5000
33842,hispanic,37,married,4,school,9,False,None,4,1,catholic,False,None,54,157,None
38165,black,32,married,4,college,2,False,None,2,1,protestant,True,full-time,86,160,25000
29967,hispanic,18,never married,0,school,12,True,None,0,None,catholic,False,full-time,74,175,5000
33419,hispanic,30,married,3,school,9,True,None,5,1,catholic,False,None,None,None,None
34026,white,19,informal relationship,1,school,12,True,None,1,None,baptist,False,part-time,None,None,5000
39607,white,40,divorced,0,school,12,True,None,4,2,baptist,True,part-time,56,152,10000
39753,hispanic,27,married,1,school,10,False,None,2,1,catholic,True,full-time,106,173,35000
39029,white,16,never married,0,school,10,False,None,0,None,baptist,False,full-time,66,170,10000
36442,white,24,divorced,1,school,9,False,None,4,1,protestant,True,full-time,73,165,12500
32934,white,43,married,2,college,2,True,Associate,3,1,protestant,True,both,51,163,12500
32314,white,32,married,2,college,5,True,Master,2,1,protestant,True,full-time,68,168,40000
27957,white,32,informal relationship,3,school,9,False,None,4,1,baptist,True,None,125,170,7500
27779,white,18,never married,0,school,12,False,None,0,None,baptist,False,part-time,52,168,10000
32615,white,25,separated,0,school,12,True,None,1,1,baptist,True,part-time,None,None,5000
32037,white,29,married,4,school,10,False,None,6,1,baptist,False,None,None,152,None
26580,other,17,never married,0,school,12,False,None,0,None,baptist,True,both,59,168,10000
26415,white,38,married,1,school,12,False,None,2,2,baptist,True,None,47,155,12500
30441,white,18,never married,0,school,12,True,None,0,None,baptist,False,part-time,57,175,12500
33471,white,17,never married,0,school,11,True,None,0,None,None,False,None,53,163,None
29397,other,24,never married,0,school,10,True,None,0,None,baptist,True,full-time,113,178,12500
31607,white,42,informal relationship,0,school,9,False,None,3,2,baptist,True,both,77,152,25000
28263,white,27,informal relationship,2,school,12,True,None,2,1,protestant,True,None,88,175,30000
31609,white,37,informal relationship,1,school,9,False,None,3,3,baptist,True,full-time,77,168,25000
27850,white,31,widowed,4,college,2,True,None,4,1,baptist,True,None,90,155,10000
32649,white,28,married,2,school,10,False,None,2,1,baptist,True,full-time,61,173,25000
30608,black,44,married,3,school,10,True,None,3,1,baptist,True,None,72,170,25000
32786,black,16,never married,0,school,11,True,None,0,None,other,False,part-time,49,165,5000
31965,white,18,married,0,school,12,True,None,0,1,protestant,False,part-time,70,173,25000
32840,white,42,married,0,school,12,True,None,2,1,baptist,True,None,56,150,35000
33485,white,36,divorced,3,school,12,True,None,2,2,protestant,True,full-time,79,163,50000
30266,white,18,never married,1,school,12,True,None,1,None,baptist,False,part-time,59,168,10000
26173,black,36,married,2,school,12,True,None,2,1,baptist,True,None,80,160,7500
30243,black,19,never married,1,college,1,True,None,1,None,baptist,True,full-time,59,163,5000
31575,white,44,informal relationship,1,school,12,True,None,2,2,baptist,True,None,66,163,25000
33027,other,16,never married,2,school,11,False,None,0,None,protestant,False,full-time,64,163,12500
28721,white,43,married,1,school,12,True,None,5,1,protestant,True,None,66,160,5000
27394,other,37,informal relationship,5,school,9,True,None,4,3,baptist,False,None,77,173,25000
27801,white,25,married,4,school,11,False,None,5,1,baptist,True,None,68,168,30000
32444,white,43,married,2,school,9,True,None,3,1,protestant,True,None,102,168,5000
30803,white,33,married,2,school,12,True,None,3,1,protestant,True,part-time,64,150,5000
27991,white,39,divorced,0,school,9,False,None,5,2,baptist,False,None,47,168,5000
26720,white,38,divorced,1,school,12,True,None,1,1,baptist,True,full-time,82,155,20000
27245,white,17,married,2,school,10,True,None,1,1,None,False,None,52,157,None
31236,white,15,never married,0,school,9,False,None,0,None,other,False,full-time,115,168,20000
27141,white,31,married,2,school,12,True,None,1,1,baptist,True,full-time,125,173,20000
26709,white,41,married,1,college,2,False,None,2,2,baptist,True,full-time,75,178,35000
33442,black,28,married,2,school,11,True,None,3,1,baptist,True,full-time,64,168,60000
31222,white,35,married,3,college,2,True,None,3,1,other,True,part-time,95,173,25000
31582,white,32,never married,0,school,10,False,None,0,None,None,True,None,113,157,7500
28865,white,40,married,3,school,12,True,None,8,1,baptist,True,None,None,None,20000
26438,white,25,married,2,school,11,True,None,2,1,baptist,False,part-time,66,165,25000
32676,white,16,never married,0,school,9,True,None,0,None,baptist,False,None,50,163,5000
33270,white,32,married,3,school,12,True,None,3,2,baptist,True,full-time,113,163,40000
27740,white,16,never married,0,school,10,True,None,0,None,protestant,False,None,109,180,None
32396,white,38,married,5,college,4,True,Associate,7,3,protestant,True,full-time,73,173,5000
29082,white,17,never married,0,college,1,False,None,0,None,protestant,False,part-time,64,168,7500
